-1416,6632,15360
-1336,6728,15560
-1448,6664,15424
-1312,6808,15584
-1320,6712,15432
-1192,6856,15544
-1408,6712,15528
-1336,6472,15504
-1024,7136,17088
-1096,6752,15208
-1512,6136,16120
-888,6376,17064
-3224,7096,15200
120,4600,17368
1464,7920,14576
-120,5448,16896
200,3568,14392
640,280,17768
5024,-344,14864
1960,-3248,16736
3368,-6256,19672
3552,-7136,14536
2320,-8752,14552
1320,-11344,12056
904,-12960,9816
720,-14632,7368
880,-15672,4424
1336,-17368,2392
480,-15776,-2072
1520,-15152,-4976
1752,-14952,-7664
1416,-11416,-11176
1840,-10976,-11864
1136,-8112,-14776
448,-5856,-14824
-728,-3512,-14624
-1736,-3072,-16456
-1352,-1248,-15384
432,-88,-17288
-3064,1968,-14752
-912,5792,-15752
-416,4472,-13976
9752,2392,-10888
13920,4864,-8296
14216,3416,-10192
16128,1008,-1048
16352,-1000,4560
14392,-3408,7968
11048,-6032,7592
9080,-9736,9392
5928,-10736,10944
2632,-11896,11472
-1176,-13848,11440
-4016,-12280,10128
-4400,-13608,9104
-6000,-14328,6928
-5232,-14848,3264
-1696,-17256,-2104
-2784,-15592,-1480
3328,-14608,-5720
5184,-14512,-6432
7040,-13600,-5688
9616,-11208,-2808
13528,-8192,1160
15416,-6512,7208
13176,136,9184
15648,488,8840
16816,-1784,8360
12216,-320,11752
7240,1072,14768
4232,1760,16376
1704,5456,16752
-1448,5864,16048
-6176,6272,15840
-9648,5352,12136
-12776,6168,9120
-13896,5896,7376
-14624,5168,5344
-19152,2720,5960
-19768,1656,3248
-15320,2864,-3168
-14344,2240,-7872
-14192,720,-9832
-12536,2952,-9096
-12192,2984,-9312
-13344,4472,-7304
-13688,4248,-7784
-15656,4768,-8432
-14080,6824,-6176
-12960,5608,-8160
-11584,7680,-7048
-8440,11048,-7376
-6080,15600,-4048
-1752,17432,-2288
-3440,17192,3376
-112,15472,5904
1944,14400,8536
944,13336,9544
-5536,10776,9800
-9600,9200,11016
-13104,6080,6688
-15728,5888,3312
-16408,2496,1232
-16160,3936,-2248
-15432,1728,-4240
-14032,416,-7512
-12160,-3720,-10264
-8888,-4880,-7192
-5680,-8504,-12224
-4264,-11512,-13088
-3920,-15568,-5264
-4192,-16288,-616
-4488,-15344,2048
-3776,-15888,3656
-6208,-13096,7616
-7080,-11048,10024
-6560,-9896,11984
-6464,-7112,13656
-4856,-6824,13632
-4096,-3680,16056
-5472,-2440,15296
-6224,776,15888
-5776,3480,16320
-2792,9104,14032
-1480,11560,11080
-3128,11872,9544
-4376,14792,6920
-4640,14776,3968
-8576,14008,184
-10096,11880,-2856
-12576,9056,-5688
-13280,8240,-7248
-11864,2840,-10704
-8992,-728,-13032
-4256,-2896,-16392
-688,-4520,-15472
5784,-7856,-13728
9512,-9176,-10520
9768,-11872,-6456
7760,-14168,-840
8784,-11584,3552
7432,-12888,10680
1280,-10336,12960
-2088,-10856,12816
-5144,-8056,14680
-4288,-7216,13056
-968,-5616,16960
3312,-4648,15280
8736,-5448,14440
9104,-6696,12792
9104,-8760,11528
5184,-9560,13544
4576,-8320,15040
1864,-7024,18512
2648,-312,16208
-4640,2408,16024
-5312,5704,15624
-8160,7984,11336
-6832,10120,11616
-7040,10360,9472
-8344,12888,6288
-9416,13392,3200
-8032,13688,-992
-7712,14336,-6096
-6248,10952,-10152
-5640,8800,-12848
-1408,7008,-4968
-5056,1000,-16256
-2008,-4144,-15496
-1696,-6760,-14152
880,-13112,-11136
4048,-13952,-6240
4504,-15696,-1456
6016,-15520,2360
8240,-13904,3024
9744,-12888,1672
13928,-10736,-1664
12544,-8152,-6624
7552,-9536,-12504
3008,-11056,-11528
96,-11712,-11360
-2360,-12096,-10256
-5904,-12560,-9368
-6528,-13912,-5432
-8736,-12824,-5056
-9208,-13936,-1608
-8760,-13784,-968
-3880,-13984,2112
-7424,-13712,-600
-6128,-16360,1648
-4864,-16480,3160
-3200,-16608,3104
-6920,-14488,-1440
-3648,-15648,-848
-2240,-16504,944
-9080,-15928,4360
-600,-16816,3088
-880,-17168,3576
-864,-15248,2016
-1496,-17200,-1408
-752,-15536,-5312
-2336,-12720,-10656
1512,-12280,-10888
0,-10112,-11896
-1112,-9584,-12664
-3768,-9520,-11536
-7776,-11488,-9848
-10088,-11480,-6184
-11752,-10912,-4200
-12352,-10496,-1544
-12848,-9184,1136
-12976,-7072,6424
-8504,-3712,13272
-7312,832,14712
-6280,5048,14616
-6168,7608,14720
-3144,8840,14208
3200,9128,11544
5424,9928,13304
7944,9376,11096
10088,9032,11448
10064,11144,6904
18528,12048,-992
11768,11000,-1776
11088,11608,-5152
7624,13984,-5104
5176,13584,-5064
8952,12656,-4360
6976,14248,-2712
7752,14440,680
6640,13056,-1976
8376,13768,8632
5136,15360,1080
5704,15352,1736
3704,15832,2048
1488,16856,4760
768,15504,4112
-200,13704,6048
-4624,10912,12008
-4656,8848,12856
-6080,7280,14952
-5576,5568,15592
-6680,3200,17256
-3168,-3152,16584
-3112,-5072,15384
-2080,-5840,15800
16,-8560,15272
1272,-9184,14088
2288,-11944,11624
4656,-13072,8624
4040,-15096,5512
5936,-15792,-504
6480,-14312,-3832
8192,-12576,-5544
10112,-10032,-8400
9488,-6224,-11656
11080,560,-14128
1536,-1216,-16376
-6104,1824,-15376
-7232,2704,-12112
-11904,1304,-9448
-15504,2168,-6712
-16328,744,-3448
-16672,-256,0
-16800,-1456,2432
-14912,-1576,5944
-12504,-4672,7576
-12000,-7504,8512
-10888,-9528,8416
-4880,-12600,8240
-1304,-15816,4200
-280,-16640,1160
-640,-16272,-1800
-2816,-15160,-3376
-3568,-12048,-9680
-3512,-8992,-12872
-5688,-6904,-13488
-4528,-7512,-14264
-7768,-5496,-12768
-8984,-5096,-13192
-9376,-4080,-13216
-8752,-3312,-12960
-7224,-3088,-12424
-6416,-4672,-14368
-5000,-5304,-14072
-4304,-6464,-14472
-3480,-7592,-14544
-2144,-5616,-14600
-1960,-6080,-15552
-2480,-4192,-15512
-1880,-2408,-15064
-3400,1280,-16264
-3048,1488,-16176
-3384,4984,-13880
-5040,7104,-13712
-5392,7712,-13112
-6080,9960,-10808
-9008,10912,-10080
-13584,8608,-4488
-15472,4296,-1664
