-231,29,161
-233,35,167
-228,38,172
-240,38,176
-234,32,173
-239,41,173
-242,35,169
-231,37,171
-237,43,174
-237,35,165
-230,38,172
-246,41,178
-233,35,169
-247,48,169
-301,39,147
-286,7,152
-270,-19,164
-290,-72,148
-311,-107,132
-322,-125,135
-333,-154,120
-333,-183,97
-316,-233,94
-314,-272,80
-313,-288,39
-304,-327,3
-323,-332,-59
-315,-348,-105
-316,-354,-188
-308,-345,-229
-322,-306,-276
-322,-266,-346
-313,-241,-342
-300,-201,-369
-290,-159,-399
-271,-117,-418
-251,-79,-440
-251,-51,-440
-245,3,-439
-224,51,-412
-218,127,-406
-204,151,-404
-282,158,-367
-352,149,-305
-394,153,-239
-445,104,-169
-456,59,-70
-451,29,4
-421,-28,62
-384,-98,96
-315,-150,138
-229,-180,178
-158,-193,169
-101,-213,139
-71,-234,135
-19,-246,100
9,-286,23
2,-343,-100
-56,-364,-172
-105,-372,-217
-137,-374,-228
-170,-366,-237
-255,-365,-206
-339,-350,-159
-371,-287,-36
-404,-249,-7
-418,-185,35
-404,-172,65
-389,-182,72
-249,-154,141
-182,-134,165
-100,-76,175
-35,-22,154
57,-17,89
124,2,9
160,4,-51
168,6,-97
173,-3,-151
142,-13,-275
149,6,-249
109,14,-332
47,49,-384
13,80,-387
-2,106,-389
22,122,-366
59,167,-274
58,169,-275
47,177,-260
44,203,-226
33,199,-255
31,217,-239
-29,255,-195
-106,272,-106
-153,266,-63
-206,257,-19
-267,207,28
-294,172,46
-274,138,91
-136,93,166
-49,77,151
49,33,108
103,33,50
119,49,0
138,93,-98
137,99,-172
131,86,-250
106,23,-338
39,-23,-408
-54,-101,-459
-108,-178,-441
-135,-299,-373
-141,-348,-318
-144,-376,-261
-137,-386,-223
-115,-386,-146
-95,-380,-49
-63,-344,12
-68,-329,64
-88,-276,91
-92,-270,116
-76,-227,145
-75,-169,160
-64,-108,187
-114,-4,189
-119,66,171
-98,101,150
-75,166,108
-37,191,62
63,178,3
127,134,-99
157,64,-159
168,-3,-216
123,-102,-301
62,-177,-342
-5,-235,-385
-127,-267,-390
-225,-307,-343
-290,-336,-247
-308,-362,-180
-264,-371,-45
-259,-304,80
-218,-238,160
-77,-166,207
-34,-144,176
-33,-81,166
-72,-65,176
-144,-25,200
-237,-18,179
-384,-24,112
-413,-61,89
-406,-140,58
-402,-188,38
-383,-188,57
-356,-138,107
-322,-91,154
-268,-30,176
-204,35,167
-139,104,144
-135,144,123
-126,150,114
-82,186,80
-44,211,29
-22,250,-48
-15,240,-118
0,234,-239
9,212,-292
49,149,-329
46,60,-394
-2,-44,-440
-21,-143,-426
-63,-233,-390
-105,-325,-325
-112,-365,-225
-147,-393,-165
-212,-387,-126
-278,-378,-155
-307,-327,-202
-289,-306,-281
-218,-322,-315
-127,-349,-287
-99,-349,-275
-90,-370,-239
-74,-365,-208
-66,-380,-187
-78,-372,-159
-89,-386,-130
-126,-382,-133
-150,-392,-142
-167,-387,-147
-175,-396,-162
-180,-388,-172
-193,-387,-199
-182,-374,-247
-155,-360,-281
-112,-353,-276
-50,-355,-234
-44,-361,-179
-28,-357,-157
-28,-350,-182
-15,-344,-186
-20,-327,-244
-38,-303,-335
-54,-296,-339
-27,-275,-348
-11,-269,-344
27,-267,-310
46,-302,-209
65,-307,-148
60,-297,-106
46,-295,-52
39,-287,-26
-2,-256,65
-125,-174,162
-150,-83,175
-181,7,166
-170,62,174
-236,71,145
-298,83,138
-358,74,84
-413,69,42
-443,60,-26
-463,79,-96
-466,93,-175
-429,87,-317
-363,98,-386
-267,158,-367
-233,188,-359
-264,193,-355
-248,202,-344
-240,245,-275
-242,248,-256
-182,287,-198
-142,277,-188
-118,285,-167
-92,280,-120
-66,269,-72
-33,232,-23
-14,197,23
22,124,66
34,80,106
63,25,94
53,-6,111
51,-40,111
29,-146,108
14,-195,112
-13,-206,108
-37,-243,99
-72,-277,85
-87,-324,41
-117,-355,-2
-111,-374,-59
-129,-397,-145
-168,-376,-214
-206,-361,-289
-246,-330,-328
-261,-282,-373
-231,-219,-435
-151,-188,-462
-1,-129,-439
51,-109,-404
121,-108,-300
139,-122,-223
157,-145,-150
144,-174,-94
126,-190,-60
81,-204,7
16,-256,21
-11,-303,2
-62,-338,-28
-133,-382,-79
-196,-390,-166
-204,-376,-209
-230,-366,-240
-223,-349,-270
-196,-254,-403
-197,-171,-451
-157,-128,-464
-166,-109,-479
-88,-49,-487
-38,-29,-464
-9,-2,-459
14,19,-433
31,2,-442
28,-24,-438
35,-46,-433
21,-91,-433
16,-116,-435
4,-111,-431
2,-116,-442
33,-113,-405
28,-83,-410
31,-61,-393
46,-33,-383
49,20,-385
54,44,-360
68,72,-343
88,69,-330
117,56,-302
169,-9,-192
155,-88,-142
